Index,Title,Price,Color
461,FLEX APPEAL 4.0 - LET IT BLOSSOM,"75,00 ",1 
462,Virtue - Lucent,"65,00 ",2
463,Skechers Slip-ins: GO WALK 7 - Via,"110,00 ",2 
464,BOBS Arch Comfort B Sweet - A Pinch,"70,00 ",2 
465,Tres-Air Uno - Street Fl-Air,"100,00 ",1 
466,Zinger 2.0 - The Arwen,"70,00 ",1 
467,Tres-Air Uno - Glit-Airy,"90,00 ",2 
468,Skechers GO Lounge: On-the-GO Joy - Gratify,"75,00 ",2 
469,Skech-Air Dynamight 2.0 - New Heights,"70,00 ",3 
470,Skechers Slip-ins: GO WALK Arch Fit - Summer,"110,00 ",1 
471,Waterproof: Summits AT - Wynnwood,"95,00 ",2 
472,Work Relaxed Fit: Ghenter - Srelt SR,"80,00 ",1 
473,Relaxed Fit: Modern D'Lux - Free Mind,"75,00 ",3 
474,Hillcrest - Pure Escapade,"75,00 ",2 
475,Work: Uno SR,"100,00 ",2 
476,Uno - Pop Back,"90,00 ",3 
477,GO RUN Consistent 2.0 - Advantage,"70,00 ",2 
478,Max Cushioning Propulsion,"130,00 ",1 
479,Flex Appeal 5.0 - New Thrive,"70,00 ",2 
480,Arch Fit Inspire - Olivia,"80,00 ",2 
481,Dynamight 2.0 - Eazy Feelz,"70,00 ",2 
482,Skech-Air Dynamight - Perfect Steps,"70,00 ",2 
483,Skechers Slip-ins: GO WALK Joy - Vela,"85,00 ",2
484,Uno - Frosty Kicks,"90,00 ",2 
485,Skechers Slip-ins: D'Lites - New Classic,"95,00 ",1 
486,Uno - Diamond Shatter,"90,00 ",1 
487,Work Relaxed Fit: Ghenter - Bronaugh SR,"80,00 ",2 
488,Dynamight - Blissful,"55,00 ",1 
489,Skechers BOBS Sport Squad Waves - Just Wading,"60,00 ",1 
490,Reggae Slim - Meadow Grazer,"55,00 ",1 
491,Fashion Fit - Timeless Vibe,"80,00 ",1 
492,I-Conik,"65,00 ",1 
493,Grand 92 - Be Lifted,"75,00 ",1 
494,Skech-Lite Pro - Warm Glow,"70,00 ",2 
495,Summits - New Nature,"65,00 ",1 
496,GO RUN Consistent 2.0 - Retro Stride,"85,00 ",1 
497,BOBS Desert Chill - Sweet Crossing,"60,00 ",1 
498,Skech-Air Dynamight - So Sleek,"70,00 ",2 
499,Billion 2 - Pretty 'N' Plush,"75,00 ",1 
500,Skechers SKX_01 - 1.5 HIGH ELITE FG,"225,00 ",2 
501,Skechers Razor - 1.5 ELITE FG,"225,00 ",2 
502,Max Cushioning Suspension - Terrace,"140,00 ",1 
503,Switch Back - Zenventure,"85,00 ",1 
504,Uno 2,"95,00 ",1 
505,Work: Eldred SR,"85,00 ",1 
506,Work Relaxed Fit: Sure Track,"90,00 ",1 
507,Dynamight - Break-Through,"60,00 ",1 
508,Work: Bulklin - Ayak Comp Toe,"110,00 ",1 
509,Relaxed Fit: Arch Fit Granola - Restful Nights,"75,00 ",1 
510,Skechers Slip-ins: Summits - Diamond Dream,"80,00 ",1 
511,Modern Rugged,"115,00 ",1 
512,Newbury St - Casually,"70,00 ",1 
513,Tres-Air Uno - Revolution-Airy,"90,00 ",1 
514,Premium Leather Slip-ins Snoop One - OG,"110,00 ",2 
515,Graceful - Get Connected,"65,00 ",6
516,Skechers Slip-ins: GO WALK Joy - Abby,"85,00 ",2 
517,Summits - Oh So Smooth,"65,00 ",1 
518,Arch Fit GO GOLF Max 2 - Splash,"115,00",1 
519,GO GOLF Max 3,"79,99 ",4 
520,Skechers Razor,"131,99 ",4 
521,SKECHERS SKX_01 - High™,"131,99 ",4 
522,GO GOLF Max - Fairway 4,"63,99 ",3 
523,SKECHERS SKX_01 - Low™,"131,99 ",4 
524,Arch Fit Inspire - Windmore,"75,00 ",2 
